Stepper Position,Characterisation Frequency
969631,13988656
972347,14016746
975063,14040788
977779,14069120
980495,14096882
983211,14124651
985927,14150972
988643,14176783
991359,14206248
994075,14232488
996791,14258412
999507,14289152
1002223,14315998
1004939,14332572
1007655,14363216
1010371,14397033
1009013,14382867
1006297,14357664
1003581,14326476
1000865,14304240
998149,14277112
995433,14246372
992717,14217682
990001,14187536
987285,14160351
984569,14132122
981853,14107394
979137,14077607
976421,14051555
973705,14025489
970989,13999423
